1,2,Toni Duggan,Forward,1,1
2,2,Carly Telford,Goalkeeper,1,1
3,2,Fara Williams,Midfielder,1,1
4,3,Anna Glowacka,Physiotherapist,1,1
5,1,Mark Sampson,Manager,1,1
6,2,Anna Siguel,Head Coach,2,1
7,2,Gemma Fay,Captain,2,1
8,2,Ifeoma Dieke,Defender,2,1
9,2,Zoe Ness,Forward,2,1
10,3,Vito Gelato,Doctor,2,1
11,1,Jorge Vilda,Head Coach,3,1
12,2,Olga Garcia,Forward,3,1
13,2,Sara Serrat,Goalkeeper,3,1
14,2,Andrea Falc?n,Midfielder,3,1
15,3,Mary Rose,Doctor,4,1
16,2,Clãudia Neto,Captain,4,1
17,1,Francisco Neto,Head Coach,4,1
18,2,Barbara Bonansea,Captain,5,1
19,1,Fred Bloggs,Physiotherapist,5,1
